issue_number,title,url,labels,created_at
3847,[Bug]: vllm-ascend installation failed on A2 machine with given docker container,https://github.com/vllm-project/vllm-ascend/issues/3847,,Unknown
3843,[Bug]: qwen3-next-80B-instruct无法启动在ascend910b4,https://github.com/vllm-project/vllm-ascend/issues/3843,,Unknown
3832,[Installation]: 报错torch_npu/csrc/core/npu/NPUStream.h找不到,https://github.com/vllm-project/vllm-ascend/issues/3832,,Unknown
3819,[Bug]: The lower version of Transformers does not recognize this architecture like <code>qwen3_vl</code>,https://github.com/vllm-project/vllm-ascend/issues/3819,,Unknown
3818,[Bug]: Qwen3-VL-32B开启FULL_DECODE_ONLY报错,https://github.com/vllm-project/vllm-ascend/issues/3818,,Unknown
3816,[Bug]: VLLM-ascend 部署GLM4.6-w8a8工具推理出现报错,https://github.com/vllm-project/vllm-ascend/issues/3816,,Unknown
3813,[Bug]: Qwen3-Next-80B-A3B-Instruct模型8卡部署gpu-memory-utilization 0.7服务无法拉起,https://github.com/vllm-project/vllm-ascend/issues/3813,,Unknown
3657,[Installation]: python version should above 3.10,https://github.com/vllm-project/vllm-ascend/issues/3657,,Unknown
3642,[Community] Weekly Meeting Agenda,https://github.com/vllm-project/vllm-ascend/issues/3642,,Unknown
3633,[Bug]: Multi-Node-DP run failed,https://github.com/vllm-project/vllm-ascend/issues/3633,,Unknown
3627,"[Bug]: Qwen3-Next on A3 tp8 reports out of memory, tp4 works normal.",https://github.com/vllm-project/vllm-ascend/issues/3627,,Unknown
3623,"[Bug]: Qwen2VL TypeError: list indices must be integers or slices, not tuple",https://github.com/vllm-project/vllm-ascend/issues/3623,,Unknown
3588,[Bug]: Failed to run Qwen3 8B W4A8 in tutorials,https://github.com/vllm-project/vllm-ascend/issues/3588,,Unknown
3520,[Bug]: GLM4.6-INT8  KeyError: 'model.layers.0.self_attn.q_proj.weight',https://github.com/vllm-project/vllm-ascend/issues/3520,,Unknown
3494,[Bug]: qwen2.5-72b-w8a8拉起报错,https://github.com/vllm-project/vllm-ascend/issues/3494,,Unknown
3468,[Bug]: vllm-ascend-0.11.0rc0 部署qwen3-vl-30b-a3b，请求消息带视频，报错。,https://github.com/vllm-project/vllm-ascend/issues/3468,,Unknown
3467,[Bug]: Ascend-VLLM文档中Qwen3 8B W4A8的量化策略复现报错,https://github.com/vllm-project/vllm-ascend/issues/3467,,Unknown
3464,[Bug]: 无法加载 GLM4.5-Air-FP8,https://github.com/vllm-project/vllm-ascend/issues/3464,,Unknown
3463,[Bug]: Qwen3-32B TP4 使能VLLM_ASCEND_ENABLE_MLP_OPTIMIZE会导致OOM,https://github.com/vllm-project/vllm-ascend/issues/3463,,Unknown
3377,[Bug]: Qwen3-30B-A3B cannot use enable-lora to load LoRA,https://github.com/vllm-project/vllm-ascend/issues/3377,,Unknown
3368,[Bug]: Qwen3-next: Out of Memory due to repeated allocation of shared hybrid cache,https://github.com/vllm-project/vllm-ascend/issues/3368,,Unknown
3367,[Bug]: Qwen3-Vl Two Node Start Failed,https://github.com/vllm-project/vllm-ascend/issues/3367,,Unknown
3353,"[Bug][PTA]: MemcpyAsync check src or dst location failed, stream_id=2",https://github.com/vllm-project/vllm-ascend/issues/3353,,Unknown
3349,[Bug]: vllm 0.9.1到底需要什么版本的torch,https://github.com/vllm-project/vllm-ascend/issues/3349,,Unknown
3340,[Bug]: A+X环境Qwen2.5-72B-Instruc模型起服务长时卡住,https://github.com/vllm-project/vllm-ascend/issues/3340,,Unknown
3325,[Bug]: Qwen3-Next-80B-A3B-Instruct 启动报错,https://github.com/vllm-project/vllm-ascend/issues/3325,,Unknown
3313,[Bug]:MoE models get ImportError: cannot import name 'fused_topk' from 'fused_moe_module' (unknown location),https://github.com/vllm-project/vllm-ascend/issues/3313,,Unknown
3257,如果x的dims大于2，torch_npu.npu_quant_matmul 会报错,https://github.com/vllm-project/vllm-ascend/issues/3257,,Unknown
3255,"[Bug]: vllm-ascend 训练场景报错 assert isinstance(device, torch.device)",https://github.com/vllm-project/vllm-ascend/issues/3255,,Unknown
3239,[Bug]:Qwen3MoeSparseMoeBlock.__init__() got an unexpected keyword argument 'config',https://github.com/vllm-project/vllm-ascend/issues/3239,,Unknown
3237,[Bug]: medgemma-27b-it/gemma3长序列精度问题,https://github.com/vllm-project/vllm-ascend/issues/3237,,Unknown
3210,npu_weight_quant_batchmatmul里的x size必须是2D，否则会报错，因此必须对非2D tensor进行转换,https://github.com/vllm-project/vllm-ascend/issues/3210,,Unknown
3152,这里计算scale_bias的方式和msit中不一致，可能存在问题,https://github.com/vllm-project/vllm-ascend/issues/3152,,Unknown
